"x" "y" "z"
"1" 309 4875 1775.10595703125
"2" 309 4879 1775.10595703125
"3" 309 4883 1884.53601074219
"4" 309 4887 2270.87890625
"5" 309 4891 2027.09802246094
"6" 309 4895 1926.72094726562
"7" 309 4899 2094.126953125
"8" 309 4903 1808.83898925781
"9" 309 4907 2301.74096679688
"10" 309 4911 1936.74401855469
"11" 309 4915 1548.75
"12" 309 4919 1437.38598632812
"13" 309 4923 2524.38110351562
"14" 309 4927 2433.3720703125
"15" 309 4931 2468.9970703125
"16" 309 4935 2052.56909179688
"17" 309 4939 2419.63891601562
"18" 309 4943 2009.25
"19" 309 4947 1099.873046875
"20" 309 4951 1243.46203613281
"21" 309 4955 2051.8779296875
"22" 309 4959 2134.68603515625
"23" 309 4963 2465.92309570312
"24" 309 4967 2438.48193359375
"25" 309 4971 1495.45202636719
"26" 309 4975 1341.34497070312
"27" 309 4979 2105.60791015625
"28" 309 4983 2287.21704101562
"29" 309 4987 1785.18896484375
"30" 309 4991 2241.90307617188
"31" 309 4995 2366.2470703125
"32" 309 4999 2523.77709960938
"33" 309 5003 2381.09790039062
"34" 309 5007 1469.29296875
"35" 309 5011 2312.70190429688
"36" 309 5015 3024.48803710938
"37" 309 5019 2887.9970703125
"38" 309 5023 2510.82299804688
"39" 309 5027 2400.40405273438
"40" 309 5031 2145.77587890625
"41" 309 5035 1003.40802001953
"42" 309 5039 1995.94299316406
"43" 309 5043 1492.3330078125
"44" 309 5047 965.307006835938
"45" 309 5051 2176.23388671875
"46" 309 5055 2049.9208984375
"47" 309 5059 1947.09802246094
"48" 309 5063 1568.40002441406
"49" 309 5067 1538.30700683594
"50" 309 5071 1499.98205566406
"51" 309 5075 1852.80603027344
"52" 309 5079 1195.71704101562
"53" 309 5083 1566.07604980469
"54" 309 5087 1219.31005859375
"55" 309 5091 1420.76599121094
"56" 309 5095 1819.33996582031
"57" 309 5099 1488.43103027344
"58" 309 5103 638.974975585938
"59" 309 5107 729.835021972656
"60" 309 5111 1388.4150390625
"61" 309 5115 1558.75805664062
"62" 309 5119 1402.48596191406
"63" 309 5123 1463.21105957031
"64" 309 5127 1564.54296875
"65" 309 5131 1110.34899902344
"66" 309 5135 684.578002929688
"67" 309 5139 702.682006835938
"68" 309 5143 372.005004882812
"69" 309 5147 372
"70" 309 5151 372
"71" 309 5155 395.519989013672
"72" 309 5159 395.519989013672
"73" 313 4875 1775.10595703125
"74" 313 4879 1775.10595703125
"75" 313 4883 1884.53601074219
"76" 313 4887 2270.87890625
"77" 313 4891 2027.09802246094
"78" 313 4895 1926.72094726562
"79" 313 4899 2094.126953125
"80" 313 4903 1808.83898925781
"81" 313 4907 2301.74096679688
"82" 313 4911 1936.74401855469
"83" 313 4915 1548.75
"84" 313 4919 1437.38598632812
"85" 313 4923 2524.38110351562
"86" 313 4927 2433.3720703125
"87" 313 4931 2468.9970703125
"88" 313 4935 2052.56909179688
"89" 313 4939 2419.63891601562
"90" 313 4943 2009.25
