"x" "y" "Tmax" "Elevation" "year"
"1" 907376.54258236 4700063.65168164 11.6096774193548 317.849670410156 2020
"2" 944410.442239851 4688906.42983456 11.7354838709677 273.631042480469 2020
"3" 934869.861490567 4673782.23120394 12.6677419354839 272.577056884766 2020
"4" 891175.870237741 4728417.72645999 12.9709677419355 172.84619140625 2020
"5" 905378.31408079 4744745.69955338 12.2741935483871 41.7536277770996 2020
"6" 864876.049784549 4696386.01807509 10.2516129032258 598.185974121094 2020
"7" 899052.547245173 4678442.45285229 12.1709677419355 259.46533203125 2020
"8" 848261.75833034 5083495.55262335 11.158064516129 5.20015096664429 2020
"9" 676976.353608453 4852011.96175637 12.5322580645161 38.8728256225586 2020
"10" 730537.01059819 4816622.56143633 10.7806451612903 248.542297363281 2020
"11" 784907.032063251 4775979.67582594 11.0645161290323 199.075698852539 2020
"12" 852381.519621173 4838608.34508506 10.9645161290323 15.9907102584839 2020
"13" 750884.87578096 4702361.3529236 12.9387096774194 282.610046386719 2020
"14" 766092.221009943 4664001.02879098 12.9838709677419 202.425018310547 2020
"15" 1169835.67002096 4543277.38485658 11.8903225806452 343.806121826172 2020
"16" 1131721.59398986 4509783.39122709 12.4709677419355 451.269165039062 2020
"17" 1077000.42984405 4483058.2885911 13.3322580645161 874.744567871094 2020
"18" 1112022.67281706 4535415.05280888 10.6387096774194 492.068054199219 2020
"19" 1114254.57361859 4385620.86234717 12.0741935483871 572.3955078125 2020
"20" 1130542.79420514 4380715.41046677 11.1 805.903198242188 2020
"21" 1172078.64122807 4372664.28967916 12.2516129032258 623.578002929688 2020
"22" 1036541.33035371 4511666.95729618 12.7903225806452 274.315856933594 2020
"23" 1010144.08444504 4539511.43010772 11.8129032258065 501.803771972656 2020
"24" 847021.499622434 5072033.13553573 10.9225806451613 0 2020
"25" 748263.119586557 4713053.30974214 11.8032258064516 452.667572021484 2020
"26" 825287.151628855 4683240.59860606 12.0903225806452 597.353210449219 2020
"27" 751135.512844919 4682489.02064753 12.6064516129032 325.216247558594 2020
"28" 822610.092560595 4665466.41159854 12.2870967741935 479.274353027344 2020
"29" 789780.971983731 4671674.31116428 13.0806451612903 170.233016967773 2020
"30" 822289.345690567 4639088.41246991 12.0064516129032 468.742980957031 2020
"31" 552757.841103839 4902722.23996436 11.9645161290323 254.910110473633 2020
"32" 810430.076738786 4831150.87188403 11.4193548387097 272.588714599609 2020
"33" 841805.135607888 4828587.4027066 11.3387096774194 116.710792541504 2020
"34" 810803.725690944 4867004.83499311 10.6548387096774 13.9851913452148 2020
"35" 859100.067725745 4838292.1661839 11.2258064516129 25.9031753540039 2020
"36" 1010411.42233932 4616130.00708045 11.6483870967742 488.756103515625 2020
"37" 1046836.55310167 4652307.69949723 11.7032258064516 249.189559936523 2020
"38" 1096448.78655643 4557502.25443889 11.2967741935484 437.899261474609 2020
"39" 1027204.77557966 4596865.95864317 11.0483870967742 357.475982666016 2020
"40" 1137155.8436882 4546747.46090144 10.7 458.548431396484 2020
"41" 1114968.91577589 4572091.20264918 11.9870967741935 452.66650390625 2020
"42" 1191396.92472443 4556542.77999962 11.8516129032258 329.684112548828 2020
"43" 1197251.20078226 4525346.86806645 12.7548387096774 230.534194946289 2020
"44" 1168145.14851733 4546822.23643787 12.0392857142857 351.319885253906 2020
"45" 1203852.44028841 4544545.11170015 11.9193548387097 366.776702880859 2020
"46" 1049395.23299564 4581787.04472511 10.8354838709677 326.677001953125 2020
"47" 1095323.4688313 4570429.38493123 10.3 506.569854736328 2020
"48" 621600.977033683 4855456.95365931 11.2354838709677 17.2812004089355 2020
"49" 570366.665685843 4913264.76176014 10.6258064516129 258.206848144531 2020
"50" 621456.083954437 4855412.19666437 11.8741935483871 17.2812004089355 2020
"51" 668627.23458327 4861303.84173493 12.1451612903226 66.7500305175781 2020
"52" 676592.668029114 4847550.62915741 12.2322580645161 48.6333045959473 2020
"53" 675120.998974174 4853564.03403426 12.0903225806452 37.1336975097656 2020
"54" 647615.407831526 4838409.63506367 11.8193548387097 75.3001861572266 2020
"55" 650778.423014003 4807918.78650249 12.0774193548387 379.476806640625 2020
"56" 774709.425301786 4778119.88418799 11.6870967741935 340.230224609375 2020
"57" 800112.682618378 4762165.67380843 12.5258064516129 217.960510253906 2020
"58" 809371.541945369 4715948.84568783 11.7935483870968 391.636535644531 2020
"59" 791053.580357009 4717160.24383757 12.7354838709677 107.242362976074 2020
"60" 771672.215891218 4801025.26096889 13.9290322580645 302.713989257812 2020
"61" 754653.193348602 4734302.0219125 12.5064516129032 258.971771240234 2020
"62" 746660.178601503 4753694.24531856 12.0322580645161 243.519012451172 2020
"63" 762997.452780147 4817256.4827608 10.9645161290323 295.885620117188 2020
"64" 756107.293129209 4804533.49281694 11.6193548387097 330.716217041016 2020
"65" 778914.567613743 4742803.34603208 11.1548387096774 212.33837890625 2020
"66" 767828.165328813 4760271.28538317 11.3 210.426620483398 2020
"67" 790009.858691532 4772968.09062434 12.3 202.225646972656 2020
"68" 790378.043765479 4723473.37534543 12.7838709677419 258.212707519531 2020
"69" 775609.070756451 4778044.96472661 11.4225806451613 406.152465820312 2020
"70" 799637.009072339 4718415.29080608 12.6548387096774 132.624389648438 2020
"71" 779458.621340025 4767633.05785937 10.7096774193548 225.730087280273 2020
"72" 755711.085967464 4778381.53281881 10.0645161290323 255.943817138672 2020
"73" 790654.982906774 4751966.81378542 11.2967741935484 306.300323486328 2020
"74" 800660.307632181 4740268.44843766 11.3870967741935 370.940612792969 2020
